cause	post_url	km	source_key	candidates(★=現行の勝者)	caption
C0_埋め込みとアカウントの両方で衝突	https://www.instagram.com/reel/DcSWUyRiAqS/	4.9	chat-noir.net	★シャ・ノワール 東大阪店（大阪府東大阪市川俣３丁目１−１） / シャ・ノワール JR住道店（住道2-3-1） / シャ・ノワール 内環緑店（大阪府大阪市鶴見区緑１丁目８−１１） / シャ ノワール 花園店（大阪府東大阪市吉田本町１丁目２−４０）	シャノワール | 手作りの焼き菓子・ケーキのシャノワール 大東・住道・門真・東大阪・香里園・寝屋川・八尾・久宝寺・鶴見区・八幡市の黒猫のケーキ屋さん
C0_埋め込みとアカウントの両方で衝突	https://www.instagram.com/reel/DcLkD6gvaYU/	4.9	chat-noir.net	★シャ・ノワール 東大阪店（大阪府東大阪市川俣３丁目１−１） / シャ・ノワール JR住道店（住道2-3-1） / シャ・ノワール 内環緑店（大阪府大阪市鶴見区緑１丁目８−１１） / シャ ノワール 花園店（大阪府東大阪市吉田本町１丁目２−４０）	シャノワール（同上・サイトのページ本文）
C0_埋め込みとアカウントの両方で衝突	https://www.instagram.com/p/Db5pdfjmKrn/	4.9	chat-noir.net	★シャ・ノワール 東大阪店（大阪府東大阪市川俣３丁目１−１） / シャ・ノワール JR住道店（住道2-3-1） / シャ・ノワール 内環緑店（大阪府大阪市鶴見区緑１丁目８−１１） / シャ ノワール 花園店（大阪府東大阪市吉田本町１丁目２−４０）	シャノワール（同上・サイトのページ本文）
C0_埋め込みとアカウントの両方で衝突	https://www.instagram.com/p/Db-ydehGLzK/	4.9	chat-noir.net	★シャ・ノワール 東大阪店（大阪府東大阪市川俣３丁目１−１） / シャ・ノワール JR住道店（住道2-3-1） / シャ・ノワール 内環緑店（大阪府大阪市鶴見区緑１丁目８−１１） / シャ ノワール 花園店（大阪府東大阪市吉田本町１丁目２−４０）	シャノワール（同上・サイトのページ本文）
C0_埋め込みとアカウントの両方で衝突	https://www.instagram.com/p/Db8PkeAmOsk/	4.9	chat-noir.net	★シャ・ノワール 東大阪店（大阪府東大阪市川俣３丁目１−１） / シャ・ノワール JR住道店（住道2-3-1） / シャ・ノワール 内環緑店（大阪府大阪市鶴見区緑１丁目８−１１） / シャ ノワール 花園店（大阪府東大阪市吉田本町１丁目２−４０）	シャノワール（同上・サイトのページ本文）
C1_ブランドサイト共有	https://www.instagram.com/p/DaKgGo4T34Y/	33.4	nanpu.co.jp	★南風岐阜店（北方町柱本南2丁目107） / 南風庄内通店（愛知県名古屋市西区庄内通２丁目７−５） / 南風本店（愛知県名古屋市北区中丸町１丁目４−４） / 南風丸の内堀川店（愛知県名古屋市中区丸の内１丁目１２−１９）	旨いもの台所 南風 -NANPU-【公式サイト】 愛知・岐阜に店舗をかまえる居酒屋です。
C1_ブランドサイト共有	https://www.instagram.com/p/CYfTIUYvbsq/	11.6	painpati.com	★パンパティ（東京都町田市本町田２９３８） / パンパティこむぎのおはなし（神奈川県相模原市緑区川尻１５５６−４）	PainPati（パンパティ）| 東京町田・横浜のパン屋さん
C1_ブランドサイト共有	https://www.instagram.com/p/DWVejBdFOfI/	884.2	hachibei.com	★焼とりの八兵衛（福岡県福岡市中央区今泉２丁目５−２８） / 焼とりの八兵衛六本木店（東京都港区六本木７丁目４−５） / 焼とりの八兵衛前原本店（福岡県糸島市前原中央３丁目２０−５）	焼とりの八兵衛 Yakitori Hachibei | 博多の焼とりを、もっと美味しく、もっと楽しく！
C1_ブランドサイト共有	https://www.instagram.com/p/DBgEvxjzvLp/	9.5	salsa-cabana.com	★サルサ カバナ セントロ（東京都港区新橋４丁目１５−４） / サルサカバナ 中野店（東京都中野区中野５丁目４７−３）	四谷・新橋・中野の本格メキシカンバル「サルサカバナ」
C1_ブランドサイト共有	https://www.instagram.com/p/DYyTDM8pse3/	20.5	toritatu.com	★とり多津 森下店（東京都江東区森下１丁目１２−７） / とり多津六本木店（東京都港区六本木７丁目１５−１７） / とり多津 つつじヶ丘北口店（東京都調布市西つつじケ丘３丁目３５−２１）	元祖東京醤油からあげ|秘伝のたれに8時間漬け込んだジューシーなからあげ！
