cell_n	region	city	category_label	category_qid	google_place_id	usable_posts_now	unresolved_stock
4	三重県	津市	ケーキ	Q13276	ChIJn3uIBAMNBGARC4YYTBMC-tI	2	0
4	佐賀県	佐賀市	ラーメン	Q234646	ChIJF_HrNbzJQTURJ7U8_usZFqw	1	0
4	兵庫県	神戸市	餃子	Q640769	ChIJz4aYSOOOAGARm0X143usYJg	1	0
4	兵庫県	神戸市	餃子	Q107014807	ChIJY4i-tCrVVDUR0qcxQTTqQY0	8	0
4	兵庫県	西宮市	焼肉	Q2431975	ChIJcbb8iTbzAGARGlMiArXOBd4	1	0
4	兵庫県	西宮市	焼肉	Q2431975	ChIJRb-1R1_yAGARzDfgPZUsfMc	1	0
4	千葉県	船橋市	そば	Q753910	ChIJ33hf79d_GGARZFP9-jYeQNQ	1	0
4	千葉県	船橋市	そば	Q753910	ChIJz0lP02OBGGARh-XfLzVv17I	2	0
4	埼玉県	川口市	焼肉	Q2431975	ChIJ5VBFp4CTGGARCDCjMquCqIc	1	0
4	大分県	別府市	居酒屋	Q1193068	ChIJr_nwt8KmRjURb74hVYeoSFg	1	0
4	大分県	大分市	お好み焼き	Q701075	ChIJgdscrl-eRjURdEKgOTm91Fw	1	0
4	大分県	大分市	和食	Q234138	ChIJpSsE5f6fRjUR_R_rsexCPLo	3	0
4	大分県	大分市	和食	Q234138	ChIJ-f0wsXqfRjUR3SpJzNw3qzE	1	0
4	大阪府	堺市	ケーキ	Q13276	ChIJue3ND7XdAGARftpsZJNtV8o	2	0
4	大阪府	大阪市	海鮮丼	Q1394677	ChIJrVBCx5LmAGAR7o0EjzETqX4	8	0
4	奈良県	橿原市	ラーメン	Q234646	ChIJvSQg31IzAWARa2ly6IEL2wY	1	0
4	宮城県	仙台市	餃子	Q107014807	ChIJA9LjEBIpil8RZCVoJcYPisI	1	0
4	富山県	富山市	イタリアン	Q192786	ChIJlT7xgjaQ918RFJeDyH1p5iE	1	0
4	山形県	天童市	そば	Q753910	ChIJFyM1YQnFi18Rdgw7v7Ri4NA	1	0
4	山形県	山形市	焼き鳥	Q483163	ChIJ6eh6dA-2i18RHUBn7WvM_qg	1	0
4	山梨県	甲府市	カレー	Q164606	ChIJfUHNpQr6G2ARunMcwplAEGs	1	0
4	山梨県	甲府市	和食	Q234138	ChIJEThS6qX5G2ARlvIKRUimgBw	1	0
4	岐阜県	岐阜市	そば	Q753910	ChIJG7lkvEOpA2ARLjYZ3c7lS0Y	10	0
4	岐阜県	岐阜市	そば	Q753910	ChIJQQzJEjipA2ARGBhTDutXnck	1	0
4	岐阜県	岐阜市	そば	Q753910	ChIJ-3qnnhepA2ARRNWVUJMfz2w	5	0
4	岐阜県	岐阜市	とんかつ	Q1142841	ChIJ766CczepA2ARGbySAdJs2HI	1	0
4	岐阜県	岐阜市	イタリアン	Q192786	ChIJ4fuoCaqpA2ARUQ1l50GiqJo	6	0
4	岐阜県	岐阜市	焼肉	Q2431975	ChIJm3W7UkuvA2ARD-7d7eMBkaA	1	0
4	岩手県	一関市	カフェ	Q30022	ChIJoT2QNJjaiF8RzWM25yKdZUE	1	0
4	広島県	広島市	焼肉	Q844466	ChIJR8wtk12fWjURCVmOBQl6O8E	1	0
4	広島県	広島市	焼肉	Q844466	ChIJqxhQGZiYWjUR8KU1nKnp7-0	1	0
4	広島県	広島市	焼肉	Q844466	ChIJn7A29PujWjURvAxXHcmfM5A	1	0
4	広島県	広島市	焼肉	Q844466	ChIJM5nq7j-iWjURPd0j_27CFSE	1	0
4	広島県	広島市	焼肉	Q844466	ChIJURkWSX-jWjURsMOj5ogyVkA	2	0
4	広島県	広島市	焼肉	Q844466	ChIJH3U6oFafWjURZx6t7vEgLx4	1	0
4	広島県	広島市	焼肉	Q844466	ChIJ66rX5QajWjURDV8QSvXUrDY	1	0
4	広島県	広島市	焼肉	Q844466	ChIJ9y7pGACjWjURX_2-2S-sJX8	1	0
4	広島県	広島市	焼肉	Q844466	ChIJdYmwgIijWjURy5puCkl2mE8	11	0
4	広島県	広島市	焼肉	Q844466	ChIJd-f1UL2jWjURHF7Nlb-JJl0	1	0
