region	city	category_label	category_qid	candidate_stores	of_which_ig_handle_known
三重県	伊勢市	うどん	Q471861	4	0
三重県	四日市	中華料理	Q10876842	1	0
三重県	松阪市	かき氷	Q7491078	1	1
三重県	松阪市	ケーキ	Q13276	1	0
三重県	津市	ラーメン	Q234646	3	1
三重県	鈴鹿市	ラーメン	Q234646	8	3
京都府	亀岡市	カフェ	Q30022	8	1
京都府	京都市	しゃぶしゃぶ	Q1061856	3	0
京都府	京都市	ステーキ	Q10859394	16	2
京都府	京都市	パンケーキ	Q44541	1	1
佐賀県	佐賀市	ハンバーグ	Q16983167	2	0
佐賀県	佐賀市	ラーメン	Q234646	12	4
佐賀県	唐津市	寿司	Q46383	6	0
兵庫県	宝塚市	カフェ	Q30022	4	0
兵庫県	尼崎市	パスタ	Q178	2	1
兵庫県	明石市	アイスクリーム	Q13233	1	1
兵庫県	淡路市	寿司	Q46383	3	0
兵庫県	神戸市	唐揚げ	Q1104399	1	0
兵庫県	神戸市	餃子	Q107014807	27	2
兵庫県	神戸市	餃子	Q640769	27	2
兵庫県	西宮市	ピザ	Q177	4	3
兵庫県	西宮市	焼肉	Q2431975	16	2
兵庫県	赤穂市	カフェ	Q30022	2	1
北海道	帯広市	ラーメン	Q234646	8	0
北海道	帯広市	居酒屋	Q1193068	12	0
北海道	札幌市	かき氷	Q905204	1	0
北海道	札幌市	しゃぶしゃぶ	Q1061856	9	3
北海道	札幌市	ピザ	Q177	7	1
北海道	江別市	カフェ	Q30022	6	1
千葉県	千葉市	うどん	Q471861	4	1
千葉県	君津市	ラーメン	Q234646	9	0
千葉県	松戸市	とんかつ	Q1142841	1	1
千葉県	松戸市	パスタ	Q178	2	0
千葉県	松戸市	寿司	Q46383	11	5
千葉県	柏市	カフェ	Q30022	19	1
千葉県	流山市	カフェ	Q30022	8	1
千葉県	船橋市	そば	Q753910	8	1
千葉県	船橋市	カフェ	Q30022	23	1
和歌山県	西牟婁郡白浜町	カフェ	Q30022	3	0
埼玉県	さいたま市	イタリアン	Q192786	4	1
埼玉県	さいたま市	ラーメン	Q234646	34	6
埼玉県	川口市	焼肉	Q2431975	21	2
埼玉県	志木市	カフェ	Q30022	1	0
埼玉県	新座市	うどん	Q471861	2	1
埼玉県	春日部市	カフェ	Q30022	5	1
埼玉県	熊谷市	定食	Q117231375	1	0
大分県	別府市	ラーメン	Q234646	8	0
大分県	別府市	寿司	Q46383	4	0
大分県	別府市	居酒屋	Q1193068	15	0
大分県	大分市	お好み焼き	Q701075	2	0
大分県	大分市	とんかつ	Q1142841	2	0
大分県	大分市	ケーキ	Q13276	2	0
大分県	大分市	和食	Q234138	4	0
大阪府	八尾市	和食	Q234138	5	0
大阪府	大阪市	ハンバーガー	Q6663	2	1
大阪府	大阪市	フレンチトースト	Q197973	1	0
大阪府	大阪市	海鮮丼	Q1394677	1	1
大阪府	大阪市	鉄板焼き	Q431640	11	0
大阪府	東大阪市	ラーメン	Q234646	17	4
大阪府	泉大津市	カフェ	Q30022	2	0
大阪府	豊中市	カフェ	Q30022	7	0
大阪府	高槻市	カレー	Q164606	4	0
奈良県	奈良市	イタリアン	Q192786	1	0
奈良県	奈良市	ケーキ	Q13276	1	1
奈良県	橿原市	ラーメン	Q234646	4	1
宮城県	仙台市	ナポリタン	Q65241114	1	0
宮城県	仙台市	油そば	Q96095589	3	1
宮城県	仙台市	韓国料理	Q647500	1	0
宮城県	仙台市	餃子	Q107014807	11	1
宮崎県	宮崎市	うどん	Q471861	22	1
富山県	富山市	イタリアン	Q192786	2	1
富山県	富山市	パスタ	Q178	1	0
富山県	富山市	焼き鳥	Q483163	1	0
富山県	射水市	居酒屋	Q1193068	5	0
山口県	下関市	寿司	Q46383	12	1
山形県	天童市	そば	Q753910	8	0
山形県	山形市	焼き鳥	Q483163	3	0
山形県	鶴岡市	カフェ	Q30022	3	1
山梨県	南都留郡富士河口湖町	カフェ	Q30022	6	0
山梨県	甲府市	カレー	Q164606	4	2
山梨県	甲府市	和食	Q234138	2	0
山梨県	甲府市	定食	Q117231375	2	0
岐阜県	各務原市	カフェ	Q30022	7	1
岐阜県	岐阜市	そば	Q753910	10	0
岐阜県	岐阜市	とんかつ	Q1142841	1	0
岐阜県	岐阜市	イタリアン	Q192786	2	0
岐阜県	岐阜市	焼肉	Q2431975	22	6
岡山県	倉敷市	とんかつ	Q1142841	1	1
岡山県	倉敷市	アイスクリーム	Q13233	2	1
岡山県	倉敷市	イタリアン	Q192786	1	0
岡山県	倉敷市	カレー	Q164606	3	2
