no,handle,url,store,locality,n_stores_linking,is_professional,category_label,profile_website,belongs_to_store,note
1,flo_prestige,https://www.instagram.com/flo_prestige/,FLO PRESTIGE,鎌倉市,1,,,,,
2,koisuru_yamanouchi,https://www.instagram.com/koisuru_yamanouchi/,山口蒟蒻（コンニャク）｜高級スーパー等でごぼう茶を展開中、様々なコンニャク製品を開発しています,山口市,1,,,,,
3,kukuru_takoyaki,https://www.instagram.com/kukuru_takoyaki/,たこ家道頓堀くくる,小牧市,1,,,,,
4,tondenfarm_ebetsu,https://www.instagram.com/tondenfarm_ebetsu/,レストラントンデン館,江別市,1,,,,,
5,houkitsu1970,https://www.instagram.com/houkitsu1970/,宝橘広畑大津店,姫路市,1,,,,,
6,kankokuen_yakiniku,https://www.instagram.com/kankokuen_yakiniku/,韓国苑春日店,春日市,1,,,,,
7,kourakuen_pr,https://www.instagram.com/kourakuen_pr/,幸楽苑,野田市,1,,,,,
8,ponystoy,https://www.instagram.com/ponystoy/,Pony's Toy,菊川市,1,,,,,
9,islandeye_official,https://www.instagram.com/islandeye_official/,なみうどん,Fukuoka,1,,,,,
10,esoragoto_udon,https://www.instagram.com/esoragoto_udon/,喫茶ことぶき【寿】,京都市中京区,1,,,,,
11,yakiniku_king_official,https://www.instagram.com/yakiniku_king_official/,焼肉きんぐ 福岡新宮店,糟屋郡新宮町,1,,,,,
12,ichiran_jp,https://www.instagram.com/ichiran_jp/,一蘭,東大和市,1,,,,,
13,nijinooyatsu,https://www.instagram.com/nijinooyatsu/,月のトリコ 厚木店,厚木市,1,,,,,
14,ichikawachika,https://www.instagram.com/ichikawachika/,市川大楽園,亀山市,1,,,,,
15,yorozuya911,https://www.instagram.com/yorozuya911/,やぶそば 利久,山梨市,1,,,,,
16,honke_kamadoya,https://www.instagram.com/honke_kamadoya/,本家かまどや ポートタウン店,大阪市,1,,,,,
17,jizo.pudding,https://www.instagram.com/jizo.pudding/,JIZO pudding 地蔵プリン,大阪市都島区,1,,,,,
18,gindaco_highball,https://www.instagram.com/gindaco_highball/,築地銀だこ,武蔵村山市,1,,,,,
19,31icecream_japan,https://www.instagram.com/31icecream_japan/,サーティワンアイスクリーム 羽曳野外環ロードサイド店,羽曳野市,1,,,,,
20,pasteleriasanonofre,https://www.instagram.com/pasteleriasanonofre/,サンオノフレ・スペイン菓子,長崎市,1,,,,,
21,ichiran_hk,https://www.instagram.com/ichiran_hk/,一蘭,東大和市,1,,,,,
22,hanayayohei_jp,https://www.instagram.com/hanayayohei_jp/,華屋与兵衛増尾店,柏市,2,,,,,
23,ichiran_tw,https://www.instagram.com/ichiran_tw/,一蘭,東大和市,1,,,,,
24,kaoru_masala,https://www.instagram.com/kaoru_masala/,南印度料理 巡るインド,いすみ市,1,,,,,
25,gatehoteltokyo,https://www.instagram.com/gatehoteltokyo/,Anchor Tokyo,千代田区,1,,,,,
26,doutor_coffee_official,https://www.instagram.com/doutor_coffee_official/,ドトールコーヒー代々木八幡店,渋谷区,1,,,,,
27,mitocagifu,https://www.instagram.com/mitocagifu/,みとか,山県市,1,,,,,
28,gathering_insta,https://www.instagram.com/gathering_insta/,Vege-Plant Cafe Bar LEBRO,川崎市多摩区,1,,,,,
29,afternoontea_official,https://www.instagram.com/afternoontea_official/,アフタヌーンティー ティールーム 伊勢丹浦和,さいたま市浦和区,1,,,,,
30,bakery_picasso,https://www.instagram.com/bakery_picasso/,ベーカリー ピカソ,名古屋市中区,1,,,,,
31,519worklodge,https://www.instagram.com/519worklodge/,519worklodge,上田市,1,,,,,
32,rockbarupsettheapplecart/,https://www.instagram.com/rockbarupsettheapplecart//,Rock Bar Upset The Apple,新宿区,1,,,,,
33,bbq.today889,https://www.instagram.com/bbq.today889/,BBQ TODAY,山口市,1,,,,,
34,delice_tarteandcafe,https://www.instagram.com/delice_tarteandcafe/,デリス 銀座店,中央区,1,,,,,
35,cocoichi_official,https://www.instagram.com/cocoichi_official/,CoCo壱番屋 新宿早稲田通り店,新宿区,2,,,,,
36,momosawakashiho,https://www.instagram.com/momosawakashiho/,甘泉堂 ももさわ菓子舗,平川市,1,,,,,
37,hamasushi_jp,https://www.instagram.com/hamasushi_jp/,はま寿司 玉名店,玉名市,1,,,,,
38,lalafeelhasami,https://www.instagram.com/lalafeelhasami/,菓子処 おりき,武雄市,1,,,,,
39,francfranc_official,https://www.instagram.com/francfranc_official/,MUG CAFE by Francfranc,港区,1,,,,,
40,themeatdutch,https://www.instagram.com/themeatdutch/,ザ ミート ダッチ,柏市,1,,,,,
