seed_id,name,mine,theirs,verdict,evidence
066d77ec-fc1a-4890-9e24-d3ba8c7ed713,酒楽酒酒酒,ChIJX6nwv3v1GGARfqBKbrHxFjE,ChIJ06lEONn1GGARp20MBne-TXk,inconclusive,"{""boxes"": {""5m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""25m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""100m"": {""n"": 2, ""mine"": true, ""theirs"": true, ""http_status"": 200}}, ""alive_mine"": true, ""alive_theirs"": true}"
087acd1c-57f1-4dfe-be72-25e668d7f548,Asian Dining Tammi,ChIJX10leIneGGARxKbss1qeyhU,ChIJDx1BeIneGGARXqXc3jTXhms,db_stale,"{""boxes"": {""5m"": {""n"": 0, ""mine"": false, ""theirs"": false, ""http_status"": 200}, ""25m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""100m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}}, ""alive_mine"": true, ""alive_theirs"": true}"
1757e5c4-4691-4bf1-8f0a-5e33bbb8fb14,鹿児島ふるさと物産館,ChIJGw85hgJlPjUR6IZdYUWKYnk,ChIJncHskgJlPjURuO8VIDhuQGc,inconclusive,"{""boxes"": {""5m"": {""n"": 1, ""mine"": false, ""theirs"": false, ""http_status"": 200}, ""25m"": {""n"": 1, ""mine"": false, ""theirs"": false, ""http_status"": 200}, ""100m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}}, ""alive_mine"": true, ""alive_theirs"": true}"
2c20fc19-9fa1-4e88-b441-38afa706eae7,アフタヌーンティーティールーム,ChIJhfLL2hPBGGARX3sjaq7szlQ,ChIJfb6py0PBGGARQg4GaRttg94,inconclusive,"{""boxes"": {""5m"": {""n"": 0, ""mine"": false, ""theirs"": false, ""http_status"": 200}, ""25m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""100m"": {""n"": 2, ""mine"": true, ""theirs"": true, ""http_status"": 200}}, ""alive_mine"": true, ""alive_theirs"": true}"
5172ebbc-820a-42a4-9c5f-3e5b244b20f5,焼鳥スタンド コジローさん 小虎小路店,ChIJz7AR7N2LGGAR0LAM1GvVLJ0,ChIJ7XHBMWeLGGARi5S-xYQ9VIc,db_stale,"{""boxes"": {""5m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""25m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""100m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}}, ""alive_mine"": true, ""alive_theirs"": true}"
56e22109-d28c-4702-b879-b723e7ef4464,らーめん工房いちにぃさん,ChIJeTLWHwDzAGAR0_FNFVzh5yA,ChIJU8TlOl7yAGARP7jxQaZypGc,inconclusive,"{""boxes"": {""5m"": {""n"": 0, ""mine"": false, ""theirs"": false, ""http_status"": 200}, ""25m"": {""n"": 0, ""mine"": false, ""theirs"": false, ""http_status"": 200}, ""100m"": {""n"": 1, ""mine"": false, ""theirs"": false, ""http_status"": 200}}, ""alive_mine"": true, ""alive_theirs"": true}"
5fa3faf9-bbaa-453c-a16b-32480ca2405a,Hachi,ChIJldc4RbRhGGAR9xRZ4p2_0zM,ChIJTW-yBQBhGGAReScsapjFqSc,db_stale,"{""boxes"": {""5m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""25m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""100m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}}, ""alive_mine"": true, ""alive_theirs"": true}"
61372f22-0ba8-4450-9ccb-3a47ca5c6a5f,すき家 イオンモール茨木店,ChIJIfSHLCnjAGAR9rlfNDkqY3A,ChIJCxBULCnjAGARvad8FNBCerQ,db_stale,"{""boxes"": {""5m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""25m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""100m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}}, ""alive_mine"": true, ""alive_theirs"": true}"
6b48564b-1085-4918-8d9e-75cc67502202,幸村,ChIJ39_wBzAoil8RFwdpDPziKYE,ChIJnZBvpjooil8RTjg5_MOPt3Y,inconclusive,"{""boxes"": {""5m"": {""n"": 0, ""mine"": false, ""theirs"": false, ""http_status"": 200}, ""25m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""100m"": {""n"": 2, ""mine"": true, ""theirs"": true, ""http_status"": 200}}, ""alive_mine"": true, ""alive_theirs"": true}"
71943e90-6b3d-4ff9-a04d-1579461a24c0,はぐるま,ChIJ6bxs9TnkAGARhPuQIO-HIeQ,ChIJE2v0VCDlAGARuCxJzu7jSeY,inconclusive,"{""boxes"": {""5m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""25m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""100m"": {""n"": 2, ""mine"": true, ""theirs"": true, ""http_status"": 200}}, ""alive_mine"": true, ""alive_theirs"": true}"
7ac84baf-e4ef-436e-89a3-81fa233a0da1,Voyager Stand Shibuya,ChIJvx_5cJqNGGARHm-YIASBuNs,ChIJxQhAHrqNGGARKDMRP7v8mbo,db_stale,"{""boxes"": {""5m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""25m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""100m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}}, ""alive_mine"": true, ""alive_theirs"": true}"
82877b56-ae83-4301-a67c-b648e0d906d4,呑龍ラーメン,ChIJnYN8UwDzHmARaE2Sfxj3VUc,ChIJw0gLV1bzHmARZfI-1V0OVgQ,db_stale,"{""boxes"": {""5m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""25m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""100m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}}, ""alive_mine"": true, ""alive_theirs"": true}"
8bbb6957-fcac-4001-b4ae-59075c5f7c7b,丸亀製麺イオンモール伊丹,ChIJ_UmJ0lrwAGAR4u8wR9sOGaI,ChIJj5hS01rwAGARHTSUZAvvozM,db_stale,"{""boxes"": {""5m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""25m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""100m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}}, ""alive_mine"": true, ""alive_theirs"": true}"
8fa00ba2-5240-4579-9d3b-456499158914,十一屋本店,ChIJ7eXTNye3i18RpdbpXStvHOY,ChIJR-LZMXe3i18R2-P5Ktn8MbA,db_stale,"{""boxes"": {""5m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""25m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""100m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}}, ""alive_mine"": true, ""alive_theirs"": true}"
c114f517-6322-4783-9a61-63c5d17dc2fc,炭火焼肉 にく式 すすきの店,ChIJaR3zIt8pC18R_N1_uMSA5Z0,ChIJzbegXBYpC18RHDe-7HnEkj8,db_stale,"{""boxes"": {""5m"": {""n"": 0, ""mine"": false, ""theirs"": false, ""http_status"": 200}, ""25m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""100m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}}, ""alive_mine"": true, ""alive_theirs"": true}"
d23ffe30-2b34-4548-a509-66f0183c3d18,Little Napoli NOOV,ChIJq8uq7GOhA2ARCjZkxsoE5GI,ChIJl6ARFsygA2AR35GCnlPdu1w,db_stale,"{""boxes"": {""5m"": {""n"": 0, ""mine"": false, ""theirs"": false, ""http_status"": 200}, ""25m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""100m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}}, ""alive_mine"": true, ""alive_theirs"": true}"
ef89da42-8134-4db6-a3a0-44488b127fe4,舟鮨,ChIJn2M9zxl6A2ARJ1pdind-NVc,ChIJu9gXzxl6A2AROTF6crUGTJc,db_stale,"{""boxes"": {""5m"": {""n"": 1, ""mine"": false, ""theirs"": true, ""http_status"": 200}, ""25m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""100m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}}, ""alive_mine"": true, ""alive_theirs"": true}"
f0701701-4f9c-43bf-9e36-f71cba3408af,月ノ輪,ChIJo9TA12mTHGARgDagR6i6oPQ,ChIJL5uh56OSHGARSlmxNTKgBBM,db_stale,"{""boxes"": {""5m"": {""n"": 0, ""mine"": false, ""theirs"": false, ""http_status"": 200}, ""25m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""100m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}}, ""alive_mine"": true, ""alive_theirs"": true}"
f19e1d5c-1f96-43fe-bbd5-16ec32aca0df,焼肉食堂 くたみや 薄場店,ChIJH-qj3m31QDUR61yTswwNb3w,ChIJQ3edgeD1QDURqsYF3vDYLlQ,inconclusive,"{""boxes"": {""5m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""25m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""100m"": {""n"": 2, ""mine"": true, ""theirs"": true, ""http_status"": 200}}, ""alive_mine"": true, ""alive_theirs"": true}"
f9f19813-f7fa-40f7-8016-1be9fe3b8559,とんかつ檍羽田イノベーションシティ店,ChIJ3aIGyLBhGGAR6wNL9IvMX8M,ChIJ7-c-xd5hGGARO2Yh2PpCQfQ,db_stale,"{""boxes"": {""5m"": {""n"": 0, ""mine"": false, ""theirs"": false, ""http_status"": 200}, ""25m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""100m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}}, ""alive_mine"": true, ""alive_theirs"": true}"
ifas:038000:fBiz00000179480000000008,唐揚げ食堂 ごいち ぷらす,ChIJ40aEUgA7UDURSHgAHswVL5s,ChIJCyiyPAA7UDURfhvsvnDJzU8,inconclusive,"{""boxes"": {""5m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""25m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""100m"": {""n"": 2, ""mine"": true, ""theirs"": true, ""http_status"": 200}}, ""alive_mine"": true, ""alive_theirs"": true}"
ifas:029201:fBiz00001951730000000008,大起水産　海鮮丼と干物定食専門店,ChIJjZD__Ts7AWARV2D3_we17iU,ChIJx3eiAE46AWAR4qiG7V0wVLI,inconclusive,"{""boxes"": {""5m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""25m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""100m"": {""n"": 1, ""mine"": false, ""theirs"": true, ""http_status"": 200}}, ""alive_mine"": true, ""alive_theirs"": true}"
ifas:023000:fBiz00000113080000000158,MEGAドン・キホーテUNY小牧店,ChIJr79P4LEMA2ARXA4nVcqAR_Q,ChIJZa5b4LEMA2ARp4fUuaMVVYU,db_stale,"{""boxes"": {""5m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""25m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""100m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}}, ""alive_mine"": true, ""alive_theirs"": true}"
ifas:012204:fBiz00003507190000000002,ゼッテリア北習志野店,ChIJP0gs4XWAImARSWxXJWVlhyE,ChIJJZ0OTF6BImARtzXJaNAHnA0,db_stale,"{""boxes"": {""5m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""25m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""100m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}}, ""alive_mine"": true, ""alive_theirs"": false}"
ifas:023000:fBiz00000113080000000152,MEGAドン・キホーテUNY大口店,ChIJOfBJKXQMA2ARDPcxeUI0gjQ,ChIJOfBJKXQMA2ARghlcRlXvvyg,db_stale,"{""boxes"": {""5m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""25m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}, ""100m"": {""n"": 1, ""mine"": true, ""theirs"": false, ""http_status"": 200}}, ""alive_mine"": true, ""alive_theirs"": true}"
