seed_id,name,name_query,address_query,address_quality,latitude,longitude,postcode,freeform,locality,basic_category,confidence,websites
neg:634a0f36-138f-4163-ab11-16e25e2c2843:2ce0a549-1d6d-440c-a01f-4771b08714a3,麺屋時茂,麺屋時茂,〒869-2235 熊本県,prefecture_and_postcode,32.94831085205078,131.009033203125,869-2235,熊本県,阿蘇市,cafe,0.7910774946212769,
neg:78107c76-4ecc-4c2d-b05e-c961bc655e25:ba8a2380-6ac8-40dd-a27f-6af3b2fa0259,や台ずし 湊川町,や台ずし 湊川町,〒156-0044 赤堤5-31-3,postcode_and_partial,35.66542625427246,139.6385726928711,156-0044,赤堤5-31-3,世田谷区,bar,0.983468645811081,
neg:0cbb16fa-e0ff-4cd1-aa14-be16ba6f8301:13b7a32b-57e7-4c94-9003-fe8604abe922,伊吹そば,伊吹そば,〒001-0014 北海道札幌市北区北14条西3丁目1−17,prefecture_and_postcode,43.07735252380371,141.34796905517578,001-0014,北海道札幌市北区北１４条西３丁目１−１７,札幌市北区,restaurant,0.9447154998779297,
neg:e6cebe29-09e0-4e92-9da2-327b87550582:9b6e7047-0137-4a86-a1ae-9b02a09b777f,Roi et Reine,Roi et Reine,埼玉県さいたま市見沼区東新井294−1,prefecture_only,35.90893363952637,139.67008209228516,,埼玉県さいたま市見沼区東新井２９４−１,さいたま市見沼区,restaurant,0.9683570849895478,
neg:1aab5874-5ecb-4545-a454-d087a5fd103b:6ea10109-50cf-4667-b797-c8ae060ff94a,VIN Lazo（ヴィンラーソ）,VIN Lazo(ヴィンラーソ),〒891-0102 2 Chome-64-7 Hoshigamine,postcode_and_partial,31.57380485534668,130.4949722290039,891-0102,2 Chome-64-7 Hoshigamine,鹿児島市,restaurant,0.9034789800643921,
neg:aa5231b5-c8be-431d-a412-df5b0b432352:0e571dd0-2cfd-41f0-91f1-e65022f893ec,地鶏専門店 マルエ 天5店,地鶏専門店 マルエ 天5店,〒104-0061 東京都中央区銀座6丁目8−7,prefecture_and_postcode,35.67008399963379,139.76278686523438,104-0061,東京都中央区銀座６丁目８−７,中央区,restaurant,0.44987767934799194,
neg:fdf5a092-42b5-4f2a-a28e-abf2eaf6b9e4:94654737-fda8-49e6-a59d-c0c5f22f022b,銀座アスター 伊勢丹松戸店,銀座アスター 伊勢丹松戸店,〒165-0032 東京都中野区鷺宮3丁目15−12,prefecture_and_postcode,35.72268867492676,139.6394271850586,165-0032,東京都中野区鷺宮３丁目１５−１２,中野区,restaurant,0.9505295753479004,
neg:407039fe-558a-4ef2-beba-e2cb90dc3949:09ac85cd-4a8c-4510-b95b-3dfe655fe16e,Domaine De Mikuni,Domaine De Mikuni,〒116-0013 116-0013東京都荒川区西日暮里2-16-2LIMビル B1F,prefecture_and_postcode,35.73330116271973,139.78299713134766,116-0013, 116-0013東京都荒川区西日暮里2-16-2ＬＩＭビル B1F,荒川区,restaurant,0.6116218566894531,
neg:183f0099-e7fb-4b3a-ba14-ac2fc5d6d3f1:86aa39bf-6d23-4888-b8ff-d568c5887aa1,CAFE くるみの木,CAFE くるみの木,〒956-0027 秋葉区美善2-4-6,postcode_and_partial,37.805511474609375,139.11536407470703,956-0027,秋葉区美善2-4-6,新潟市秋葉区,casual_eatery,0.7670544981956482,
neg:80cbcf43-3548-4f00-b87d-70e57319b2b4:11d4b880-041a-4557-8fa4-8a918a3c4ab4,コーヒースポットなかむら,コーヒースポットなかむら,〒250-0004 神奈川県小田原市浜町1丁目6−46,prefecture_and_postcode,35.25380516052246,139.1624298095703,250-0004,神奈川県小田原市浜町１丁目６−４６,小田原市,restaurant,0.673037588596344,
neg:4734d195-e5bc-4d32-a86d-c1b8e4f78041:1a078b22-9594-42f2-8f0d-847dedab06ae,秋葉らーめん 松風,秋葉らーめん 松風,〒389-1226 川上2755-345,postcode_and_partial,36.74481201171875,138.18892669677734,389-1226,川上2755-345,飯綱町,restaurant,0.77,
neg:9f471eab-5864-4777-bc36-c50c6123db01:8467d982-2980-490b-b6ed-5ebe21f0fc4e,徳本まんじゅう本舗,徳本まんじゅう本舗,〒190-0012 東京都立川市曙町2丁目5−1,prefecture_and_postcode,35.69991493225098,139.413330078125,190-0012,東京都立川市曙町２丁目５−１,立川市,casual_eatery,0.995034287571907,
