place_id,latitude,longitude,sightings,nearest_open_data_m
ChIJz2sfGAANBGARb_ZLHUaj12I,34.7302796,136.5105054,2,16.0
ChIJC_ZTvYgNBGARSAwreAoKYC8,34.7305940,136.5105054,2,7.4
ChIJa1m2zcENBGAR0cahsjIjEnE,34.7307512,136.5105054,1,0.0
ChIJPVKnaLYMBGARdm1zP3Nt_VY,34.7307512,136.5105054,1,0.0
ChIJPVKnaLYMBGARFpkLD9ApN9I,34.7307512,136.5105054,1,0.0
ChIJFSuhaLYMBGAR8WLveOjkBlM,34.7307512,136.5105054,1,0.0
ChIJ69ITUHoNBGARhPbUHgD0vmg,34.7307512,136.5105054,1,0.0
ChIJX8DqaLYMBGARVH2-BuqP5lU,34.7307512,136.5105054,1,0.0
ChIJsY9MGQANBGAR0IUGlkYb5k0,34.7307512,136.5105054,1,0.0
ChIJNbFPVrMNBGAR0x2x-BsgbQw,34.7309084,136.5105054,2,10.6
ChIJvaRHbrYMBGARoL5ktj4HsSE,34.7307512,136.5108880,1,17.0
ChIJJ-i1H2ANBGAR2HJZ4lIl3vo,34.7310656,136.5105054,1,20.5
ChIJOxRtZLYMBGARrYt-QyQnSgQ,34.7310656,136.5106967,2,16.9
ChIJEeutY7YMBGAREEHLAERlBoA,34.7313800,136.5105054,1,15.4
ChIJr6tLBQANBGAR4jY3PkHkVQU,34.7313800,136.5108880,1,5.5
ChIJb0A98ysNBGARTADZO5s_ssA,34.7313800,136.5108880,1,5.5
ChIJHeb4egANBGARlDNFu32XTBE,34.7313800,136.5108880,1,5.5
ChIJo-w7BfwNBGARzpzFF8RfBm4,34.7313800,136.5108880,1,5.5
ChIJmzREYAANBGARddZFRC2oyKE,34.7313800,136.5108880,1,5.5
ChIJRRcxr-wNBGARVdHb310Bpe8,34.7313800,136.5108880,1,5.5
ChIJi1Q9fbYMBGARMBAN5LGBBYQ,34.7313800,136.5108880,1,5.5
ChIJi1Q9fbYMBGARCe-OufHFqlI,34.7313800,136.5108880,1,5.5
ChIJAQAAAHP0QDURR9_4vJV6WCg,32.8024855,130.7079679,1,3.7
ChIJuzICpPn1QDURWa0vdAat8CU,32.8024855,130.7079679,1,3.7
ChIJc3dCGw30QDURUcLl2uNll28,32.8024855,130.7079679,1,3.7
ChIJI-FBAQ30QDURo471upYu1Wg,32.8024855,130.7079679,1,3.7
ChIJI-FBAQ30QDURu-AcJD0Gd6Q,32.8024855,130.7079679,1,3.7
ChIJI-FBAQ30QDURb9HTT3-VvcA,32.8024855,130.7079679,1,3.7
ChIJI-FBAQ30QDURMVVcvaMYAHM,32.8024855,130.7079679,1,3.7
ChIJy_9hTGj1QDURS_OEWUkl3cM,32.8024855,130.7079679,1,3.7
ChIJb-tDGA30QDURTHvkxImpEOo,32.8024855,130.7079679,1,3.7
ChIJ39AfTw30QDURE3mI9_URyUg,32.8024855,130.7079679,1,3.7
ChIJo9c1PEn1QDURKQVQcoDGXyk,32.8024855,130.7079679,1,3.7
ChIJkTdhWgD1QDURkB1cnGKvU0M,32.8024855,130.7079679,1,3.7
ChIJI-FBAQ30QDURHC1uGeJC1Ek,32.8024855,130.7079679,1,3.7
ChIJ8X_Zhm30QDURjrnLHaWOdJw,32.8024855,130.7079679,1,3.7
ChIJmeaQjY_1QDURVBxxWQkJgyE,32.8024855,130.7079679,1,3.7
ChIJI-FBAQ30QDURoclGWXr4C5U,32.8024855,130.7079679,1,3.7
ChIJBfBBAQ30QDURFmIikxyoBcw,32.8024855,130.7079679,1,3.7
ChIJobbJCA30QDURYxaryzRu1OA,32.8024855,130.7079679,1,3.7
ChIJq7bJCA30QDURAfiF9wDV5_g,32.8024855,130.7079679,1,3.7
ChIJq7bJCA30QDURhyh5fxFhl3Q,32.8024855,130.7079679,1,3.7
ChIJfTdGTWb1QDURHJnvbLfue78,32.8024855,130.7083419,1,3.3
ChIJAcwU_gz0QDURb8-Kjy-74gM,32.8024855,130.7083419,1,3.3
ChIJZ45n_gz0QDURLErxdxqFkfA,32.8024855,130.7083419,1,3.3
ChIJVVEJoN_1QDUREzXb_cUIfl4,32.8024855,130.7083419,1,3.3
ChIJsZAMp5T1QDUR_ASEzbpUJGE,32.8024855,130.7083419,1,3.3
ChIJQe8RMbD1QDURny5G6io0RWg,32.8024855,130.7083419,1,3.3
ChIJAcwU_gz0QDURAwLeuQnj2Ks,32.8024855,130.7083419,1,3.3
ChIJb9SBeSb1QDURsgaTZkEP_C0,32.8024855,130.7083419,1,3.3
ChIJZ4L-KQD1QDURhgbMRxsHpkI,32.8024855,130.7092771,2,5.1
ChIJ3RrZC_v1QDURjByImKHgrMw,32.8026427,130.7090901,2,8.8
ChIJVcU79Pr1QDUR3nA_mqjL-Vc,32.8024855,130.7090901,1,12.1
ChIJ16bTXgz0QDURFIdwcRvNO48,32.8024855,130.7090901,1,12.1
