# label（店名:xxx /【店名】xxx）で新しく増えたキーの目視サンプル 120 件（2026-09-05, seed 99）
# 120 件すべて店名だった。括弧が片側だけ落ちていた 4 件はこの後の修正で直っている。
store_name	area	sample_post_id
お米café ごはんとおとも	奈良県桜井市	DXJt5IfPgx4
happy sweets	島根県松江市	C76J_Acymlx
定食 旬の酒菜 お漬物 食堂 徳兵衛(とくべえ	福井県福井市	DEC1dDUSBlN
forest green crepe&bake	大阪府吹田市	Cl6CQtTv2Q9
喫茶カシオペア	奈良県橿原市	DWJV717v6bb
ミツバチガーデンカフェ	山形県山形市	Cxz_wokL_SG
patiserrie carintei	佐賀県杵島郡白石町	C-kUDghPru-
うま囲 高崎店	群馬県高崎市	DILgatvzAt-
ensoleille (アンソレイユ	高知県香美市	DcQeuuQpIZI
ゆう菜屋	秋田県秋田市	Cx5ZpnMBVPQ
ウルスブラン ロースターアンドカフェ	山形県山形市	CwpSM30JbpA
麺や虎 menya.tora	山形県寒河江市	DHYAekpxv17
itsudemo_sweets	熊本県熊本市	C6OK3bRJ_4B
食堂ippo ippo	岩手県盛岡市	DYarvyiy-uc
焼肉寺坂	岡山県岡山市	DS13qPMEzsi
ミートショップカネサカ	千葉県長生郡白子町	DaKXIqohNNR
ハルオサンタダ	香川県高松市	DQDnrRvEUzD
ash. lunch & cafe	高知県高知市	DZkAezDhJCw
割烹や弥縁	熊本県熊本市	DZUfNLZynZz
日本一うまいトコロテン	新潟県上越市	DZkKSYbpscx
お気軽しゃぶしゃぶ えびす	岐阜県岐阜市	DIBG-iwRwoE
敲太郎山荘	岩手県盛岡市	DSCW9pOEZIR
toco*towa	和歌山県和歌山市	DakY2-tRgQa
らー麺店 万々店	高知県高知市	DclGz6WBywz
自然食そゑ川	秋田県秋田市	ClBajEZLpFP
うなぎ波月	福井県敦賀市	Dcrix7Zzk14
pikiniki	静岡県伊豆市	DajSHxiS5X2
もなりお(桜の馬場 城彩苑	熊本県熊本市	DcHidgAyuWb
hatake style トマト上山店	山形県上山市	CyiTkG8IzsT
居酒屋ととと	宮城県仙台市	Dcsnuj5x0M8
津軽のおかず もんどりこ	青森県弘前市	DMzn026TX3y
旨飯よか酒 ナナホシテントウ	佐賀県佐賀市	C-xFoRZPb4X
ハミングバード	静岡県沼津市	DYCBk6EpIms
coin luck 岐阜店	岐阜県岐阜市	DGIOeiXpNsz
カフェ ホシフルーツ	山口県柳井市	DQiskjzkjma
コーヒーセンティ浦添店	沖縄県浦添市	DaMbV1lB6zl
東京油組総本店滋賀組	滋賀県草津市	DbKetjgxPHh
ナチュラルカフェ	岐阜県岐阜市	DV5bApmjyFF
喫茶モカ	岩手県久慈市	DQkrxrbkjG9
nicoドーナツ天童店	山形県天童市	C3Z4MW8gBrI
perotto_reimen	熊本県熊本市	DA-2BkLSKAS
民家ジャスミン	高知県香美市	DP58l70Eky9
us coffee	岩手県気仙郡住田町	DNg8atATUlr
takuma9330	熊本県玉名郡玉東町	CtOdr8mpTt7
日本の酒と馬の肉 ウマ◯ 高崎駅前店(うままる	群馬県高崎市	DU2rHZzEsNO
piccolo lusso(ピッコロルッソ	群馬県前橋市	DNKnNEXRoNL
前橋スズラン	群馬県前橋市	DOan6gFiavY
ta蔵	香川県三豊市	DYQrH2-ynSt
博多一口餃子アッカン 平尾店	福岡県福岡市	CwKbgF9q2Xv
つけもの処鶴屋	佐賀県佐賀市	C-zvoFjP4hQ
mons__market	静岡県富士市	DYUDL_QmYyz
cafe & rest kato	愛知県名古屋市	DcqEsPVycIu
和牛lab k	広島県広島市	DQd_CrxknLh
