decision	store_name	area	google_place_id	maps_url	catalog_name	catalog_address	name_agreement	similarity	box_hits	area_hits	posts	caption_excerpt
city_box_unique_strict	サマールビーのいちご大福	島根県出雲市	ChIJSyIz5rNqVzUROEu_nSeK-j8	https://www.google.com/maps/place/?q=place_id:ChIJSyIz5rNqVzUROEu_nSeK-j8	御菓子司よしおか	島根県出雲市斐川町荘原３９４０	DIFFERENT	0.00	1	1	2	🍓店舗詳細はこちら⬇️ ⏎ いいなと思ったらフォローしてね！ ⏎ 他の投稿はこちら▶ mori.629  ⏎ ———————————— ⏎  ⏎ マツコ・デラックスさんや ⏎ SixTONESの松村北斗さんも食べたことで話題になった、 ⏎ 「あのルビーのいちご大福」で人気の吉岡製菓さん🍓 ⏎  ⏎ 夏限定で登場した ⏎ 💙 「サマールビーのいちご大福」 💙 
city_box_unique_strict	焼鳥劇場 旅鶏 裏片町店	石川県金沢市	ChIJaW6s3RI1-F8Rgxr8-g5BZQ4	https://www.google.com/maps/place/?q=place_id:ChIJaW6s3RI1-F8Rgxr8-g5BZQ4	焼鳥劇場 旅鶏 裏片町店	Katamachi, 2 Chome−2−25 銀河会館 1F	exact	1.00	1	1	2	｟8月7日（金）まで！すだちサワー無料🍋‍🟩✨｠ ⏎  ⏎ ＼リニューアル記念の振る舞い酒！／ ⏎ 期間限定で「すだちサワー」が ⏎ 無料でいただけるって大盤振る舞いすぎる🔥 ⏎  ⏎ そんなお得なキャンペーンを開催しているのは、 ⏎ 金沢・裏片町にある「焼鳥劇場 旅鶏」✨ ⏎  ⏎ 熊本の幻の地鶏「天草大王」をはじめ、 ⏎ 全国から厳選した地鶏を ⏎ 備長
city_box_unique_strict	pho'minh cocolo新潟店	新潟県新潟市	ChIJedL5OADJ9F8RylM5jg5jC4o	https://www.google.com/maps/place/?q=place_id:ChIJedL5OADJ9F8RylM5jg5jC4o					1	1	2	行きたくなったらコメントで教えてください🎶 ⏎  ⏎ ベトナムで70年続く老舗 ⏎ ミシュラン ビブグルマンに選ばれた ⏎ こだわりのビーフフォーを新潟で‼️ ⏎  ⏎ やってきたのはJR新潟駅構内CoⅭoLo新潟1F ⏎ エキナンキッチン内にある ⏎ 『PHO'MINH CoCoLo新潟店』 ⏎  ⏎ 2日間かけて煮込んだ牛スープはあっさりの中に深い旨み✨
city_box_unique_strict	銘庭の宿 ホテル甲子園	山梨県笛吹市	ChIJfYtIQvD7G2ARgEjAUknznaU	https://www.google.com/maps/place/?q=place_id:ChIJfYtIQvD7G2ARgEjAUknznaU	ホテル甲子園　クラブ竹	山梨県笛吹市石和町市部９７７－７	DIFFERENT	0.22	1	1	1	行きたいと思ったら「行きたい！」とコメントしてね✨ ⏎  ⏎ 【銘庭の宿 ホテル甲子園】 ⏎ hotelkoushien  ⏎  ⏎ ここだけの話ですが…🤫  ⏎ 山梨でゆっくり過ごしたいなら「銘庭の宿 ホテル甲子園」はぜひチェックしてほしいお宿✨ ⏎  ⏎ 今回宿泊したのは露天風呂付き客室。 ⏎ 実はこのお部屋、ホテルで唯一、 ⏎ お部屋から鯉の餌やりがで
city_box_unique_strict	logcafe 木香	山梨県中央市	ChIJ72RYbwDxG2ARUYYNxy5aT8Q	https://www.google.com/maps/place/?q=place_id:ChIJ72RYbwDxG2ARUYYNxy5aT8Q					1	1	1	行きたいと思ったら「行きたい！」とコメントしてね✨ ⏎  ⏎ 【Logcafe 木香】 ⏎ 中央市にある「Logcafe 木香」さん。 ⏎ 道の駅とよとみから車で約2分の場所にある、ログハウス風の隠れ家カフェです🌿 ⏎ 店内は木のぬくもりに包まれた落ち着いた空間で、暖炉もあり、ゆっくりと食事を楽しめる雰囲気です。 ⏎  ⏎ 今回いただいたのは ⏎ ■ 甲イカ
city_box_unique_strict	タイ料理 トンロー	山梨県甲府市	ChIJg1MvOyj7G2ARhWTa-DZOfN8	https://www.google.com/maps/place/?q=place_id:ChIJg1MvOyj7G2ARhWTa-DZOfN8	トンロータイ料理	山梨県甲府市向町１４７−１	DIFFERENT	0.29	1	1	1	行きたいと思ったら「行きたい！」とコメントしてね✨ ⏎  ⏎ 【タイ料理 トンロー】 ⏎ thonglor_koufu  ⏎  ⏎ 甲府市向町にある「タイ料理 トンロー」さん✨ ⏎ 開店前に到着したので運よくすぐに入れましたが、オープン後はあっという間に満席に。 ⏎ 並んでいる方もいたので、行くなら予約がおすすめです☺️ ⏎  ⏎ 店内はタイから取り寄せた家
city_box_unique_strict	紙ひこうき	山梨県甲斐市	ChIJQbx-Ssf3G2ARoJ6pX3QyhiM	https://www.google.com/maps/place/?q=place_id:ChIJQbx-Ssf3G2ARoJ6pX3QyhiM	紙ひこうき	山梨県甲斐市長塚１６４−１	exact	1.00	1	1	1	行きたいと思ったら、”行きたい！”とコメントしてね！ ⏎  ⏎ 【 紙ひこうき 】 ⏎  ⏎ 山梨県甲斐市で人気の洋食店  「紙ひこうき」 ⏎ オムライス好きなら  一度は訪れてほしいお店です🥚 ⏎ 今回いただいたのは  ふわとろ卵が美しいオムライス。 ⏎ ナイフを入れると  やわらかな卵とライスが絡み合い、  ひと口ごとに幸せを感じるおいしさ✨ ⏎ たっぷ
city_box_unique_strict	カフェキャメル	山梨県山梨市	ChIJXWblpIf-G2ARHvjWyefd75U	https://www.google.com/maps/place/?q=place_id:ChIJXWblpIf-G2ARHvjWyefd75U	カフェ キャメル	万力1832-5	exact	1.00	1	1	1	行きたいと思ったら「行きたい」ってコメントしてね！ ⏎  ⏎ 【 Cafe Camel 】 ⏎ fi.cafecamel ⏎  ⏎ 山梨市で見つけた居心地がよすぎる ⏎ お気に入りカフェ「カフェキャメル」さん☕️ ⏎  ⏎ 万力公園のすぐ目の前にあり ⏎ お散歩がてら立ち寄るのにもぴったりなロケーション ⏎  ⏎ 店内に入ると天井が高くて ⏎ 自然光が差し込
city_box_unique_strict	cafe tisse(カフェ ティセ)	山梨県笛吹市	ChIJAVirXIf7G2ARaYve3k_nWcM	https://www.google.com/maps/place/?q=place_id:ChIJAVirXIf7G2ARaYve3k_nWcM					1	1	1	行きたいと思ったら「行きたい！」とコメントしてね✨ ⏎  ⏎ 【cafe tisse】 ⏎ cafe_tisse   ⏎ 石和町の住宅街にある「Cafe tisse（カフェ ティセ）」☕️ ⏎ 木のぬくもりを感じる、おしゃれで落ち着いた雰囲気のカフェへ行ってきました🌿 ⏎  ⏎ 店内には素敵な雑貨や器が並んでいて、待ち時間まで楽しめる空間。 ⏎ 落ち着いた雰
city_box_unique_strict	センティアホテル内藤	山梨県甲府市	ChIJRfBLSNv5G2ARbFzbrcZ5Hzg	https://www.google.com/maps/place/?q=place_id:ChIJRfBLSNv5G2ARbFzbrcZ5Hzg					1	1	1	行きたいと思った人は「行きたい」とコメントしてね✨ ⏎  ⏎ 【センティア ホテル内藤】 ⏎  centia.hotel_naito  ⏎  ⏎ 甲府で泊まるなら、もうここ一択！🔥 ⏎ 銀座通りから歩いて3分の「センティアホテル内藤」なんだけど、夜の繁華街が目の前で立地が最高すぎる。 ⏎  ⏎ しかもここ、ビジネスホテルなのに1階のワークスペースがめっちゃ広
