# 既定から外した書き方の目視サンプル（2026-09-05, seed 1273）。«店名でないもの» が marker 約 40% / bracket 約 46%。
source	store_name	area	sample_post_id
marker	大衆食堂ミッキー	沖縄県沖縄市	C2RwX2rvq0x
marker	琉球海鮮酒場 琉星	沖縄県那覇市	C_nDaglP8qF
marker	野崎漬物	宮崎県宮崎市	DWBoaj6Ecnj
marker	黒墨商店 沖縄店	沖縄県浦添市	DOLNsOgE3Xr
marker	イセキヤ工務店の【家づくりのポイント 3選】	茨城県つくば市	DIVuXLwPJAZ
marker	大衆中華 足立屋	沖縄県沖縄市	C2Zfc29vw1X
marker	すし直売所 魚まる uomaru.kyozuka	沖縄県浦添市	C_27AZYvoCl
marker	ひろしまスタジアムパークhiropa(ヒロパ)	広島県広島市	DRMoWmNks0i
marker	サンチクジュ港川	沖縄県浦添市	DKUA4Mex5S4
marker	ソジュハンザン029 国際通り店	沖縄県那覇市	DRwVWNKE9SS
marker	やきいも仮面自販機	沖縄県中頭郡北谷町	DW3dWQ7Tqkp
marker	居酒屋 彩月	岡山県岡山市	DT6qPb6k3ir
marker	kobashicafe.otaba	石川県金沢市	Dapx5RFEyTC
marker	炭火焼肉 肉郎	宮崎県宮崎市	DQqHpmTEihx
marker	お食事処 伊吹	岐阜県中津川市	DAFEaPkyRfD
marker	タコライスcafe きじむなぁ 国際通り桜坂店	沖縄県那覇市	DWoEPF-TKWr
marker	鳥福(torifuku)	東京都渋谷区	DKoZGLvxqgE
marker	天婦羅いやさか(食べログ3.56)	東京都千代田区	DVS1XzokVJV
marker	kuracafe_odoriba	石川県金沢市	DXtz6jvkUaH
marker	gelato monica	宮崎県宮崎市	DSTPNFfE5P3
marker	ˊ˗ 〗	石川県金沢市	Cf6TKkIpXwF
marker	英国屋(えいこくや)	宮崎県日南市	DSLbvNYk1ZK
marker	living house. 金沢店	石川県金沢市	Dc0tamPBB4L
marker	イワナガ食堂	宮崎県宮崎市	DO0UdWOkbAy
marker	tavolo_del_gufo	石川県金沢市	DSSLr-AEeUH
marker	toi toi toi	愛媛県東温市	DVN42SMj664
marker	amayadori_cafe_komeko	石川県河北郡津幡町	DJwVHYsJukT
marker	レンタルバイクサキハマ	沖縄県那覇市	DEmbzgvTUks
marker	レストラン カシュカシュ	千葉県浦安市	DTe8glwkx-t
marker	お店のアカウント	徳島県徳島市	C_nWQTLB_rF
marker	(店 名)	神奈川県川崎市	DVBA8dAkl20
marker	店名】	和歌山県海南市	DaPtA3gOlEI
marker	周辺施設:	熊本県菊池郡菊陽町	DRWorZjEY9c
marker	本格台湾薬膳火鍋とあぐーしゃぶの店 麗〜うらら〜	沖縄県名護市	DFUvMX8TISJ
marker	gocchosun(ごっちょぉさん)	宮城県仙台市	C1y-3eVS2rs
marker	炭火焼肉ホルモンさわいし(sawaishi)	神奈川県川崎市	DDwFHBITV9d
marker	大仙市北楢岡船戸187	秋田県大仙市	DDwk8DEB6vI
marker	ベトナムちゃん北谷	沖縄県中頭郡北谷町	DBLksvMyNsI
marker	omusubi_hono_tokushima	徳島県徳島市	DTPvkCrCadk
marker	心技体酒場	東京都足立区	DYKQWF4yluQ
marker	shop info	千葉県松戸市	Db7vSruTq0W
marker	むかん(mukan)	神奈川県横浜市	DC-7Qwnz6Fu
marker	もぐもぐレポート	埼玉県本庄市	DH5vyWxTLDh
marker	sea-life tsurigasaki	千葉県長生郡一宮町	DZMnHZBz2fx
marker	七兵衛(shichibei)	東京都新宿区	DCteREOzrrz
marker	(店 名)	石川県金沢市	DV3F6q5ko0n
marker	acatoki	三重県度会郡玉城町	Dat17CnTMvh
marker	桂宮(keikyu)	神奈川県横浜市	DTzChe9E0DK
marker	call me anne	千葉県千葉市	DXOfjSxTglJ
marker	条件に合う住宅会社探し	石川県金沢市	Da5I7LIgaqM
marker	日曜休み	愛知県名古屋市	DSAELYaD0g_
marker	サラズキッチン	沖縄県名護市	DcxNt01j0bA
marker	粉処ふじ田	沖縄県沖縄市	C2mUzj0RReO
marker	会社名:株式会社源吉兆庵	岡山県岡山市	DHA2cYPPpzT
marker	kizaha coffee	沖縄県国頭郡大宜味村	C0oLU91vepJ
marker	imaderi	奈良県橿原市	DYWBZwuyLap
marker	cona	千葉県流山市	DYomkM8zm9c
marker	麺や新倉	愛媛県松山市	DSMyUyPj9Zp
marker	bar 十鹿	愛媛県松山市	DX1RipAxskx
marker	個室居酒屋 囲 千葉駅前店	千葉県千葉市	DZzRfaCTAlQ
marker	店名 】	広島県福山市	DKcJitahuec
marker	フルハウス	京都府京都市	DLjDEiuz6gX
marker	会社名:三井不動産リアルティ中国株式会社	広島県広島市	DHBaTv6PxTH
marker	ご紹介します(*^^*)⁡	香川県高松市	DBqcmTxTiNc
marker	株式会社トップライン 愛知県小牧市	愛知県小牧市	CLV824epu_w
marker	津市下弁財町津興808	三重県津市下弁財町	DWlRddPSJta
